datetime,RAIN,ispu,station
2013-03-01,0.0,23,Guanyuan
2013-03-02,0.0,20,Guanyuan
2013-03-03,0.0,71,Guanyuan
2013-03-04,0.0,25,Guanyuan
2013-03-05,0.0,98,Guanyuan
2013-03-06,0.0,137,Guanyuan
2013-03-07,0.0,168,Guanyuan
2013-03-08,0.0,149,Guanyuan
2013-03-09,0.0,118,Guanyuan
2013-03-10,0.0,35,Guanyuan
2013-03-11,0.0,97,Guanyuan
2013-03-12,0.12083333333333333,70,Guanyuan
2013-03-13,0.0,27,Guanyuan
2013-03-14,0.0,62,Guanyuan
2013-03-15,0.0,136,Guanyuan
2013-03-16,0.0,137,Guanyuan
2013-03-17,0.0,169,Guanyuan
2013-03-18,0.004166666666666667,64,Guanyuan
2013-03-19,0.375,26,Guanyuan
2013-03-20,0.3125,31,Guanyuan
2013-03-21,0.0,90,Guanyuan
2013-03-22,0.0,67,Guanyuan
2013-03-23,0.0,41,Guanyuan
2013-03-24,0.0,22,Guanyuan
2013-03-25,0.0,68,Guanyuan
2013-03-26,0.0,127,Guanyuan
2013-03-27,0.0,73,Guanyuan
2013-03-28,0.0,31,Guanyuan
2013-03-29,0.0,68,Guanyuan
2013-03-30,0.0,63,Guanyuan
2013-03-31,0.0,117,Guanyuan
2013-04-01,0.0,69,Guanyuan
2013-04-02,0.0,72,Guanyuan
2013-04-03,0.0,105,Guanyuan
2013-04-04,0.3416666666666666,55,Guanyuan
2013-04-05,0.09999999999999999,36,Guanyuan
2013-04-06,0.0,24,Guanyuan
2013-04-07,0.0,65,Guanyuan
2013-04-08,0.0,74,Guanyuan
2013-04-09,0.0,31,Guanyuan
2013-04-10,0.0,24,Guanyuan
2013-04-11,0.0,32,Guanyuan
2013-04-12,0.0,56,Guanyuan
2013-04-13,0.0,77,Guanyuan
2013-04-14,0.0,53,Guanyuan
2013-04-15,0.0,80,Guanyuan
2013-04-16,0.0,74,Guanyuan
2013-04-17,0.0,39,Guanyuan
2013-04-18,0.0,29,Guanyuan
2013-04-19,0.012500000000000002,39,Guanyuan
2013-04-20,0.0,41,Guanyuan
2013-04-21,0.0,78,Guanyuan
2013-04-22,0.0,99,Guanyuan
2013-04-23,0.0,108,Guanyuan
2013-04-24,0.0,71,Guanyuan
2013-04-25,0.0,29,Guanyuan
2013-04-26,0.0,76,Guanyuan
2013-04-27,0.0,60,Guanyuan
2013-04-28,0.0,63,Guanyuan
2013-04-29,0.0,52,Guanyuan
2013-04-30,0.0,35,Guanyuan
2013-05-01,0.0,50,Guanyuan
