datetime,ispu,station
2013-03-31,78,Guanyuan
2013-04-30,58,Guanyuan
2013-05-31,82,Guanyuan
2013-06-30,74,Guanyuan
2013-07-31,50,Guanyuan
2013-08-31,50,Guanyuan
2013-09-30,60,Guanyuan
2013-10-31,71,Guanyuan
2013-11-30,63,Guanyuan
2013-12-31,63,Guanyuan
2014-01-31,79,Guanyuan
2014-02-28,97,Guanyuan
2014-03-31,79,Guanyuan
2014-04-30,82,Guanyuan
2014-05-31,74,Guanyuan
2014-06-30,49,Guanyuan
2014-07-31,65,Guanyuan
2014-08-31,53,Guanyuan
2014-09-30,53,Guanyuan
2014-10-31,88,Guanyuan
2014-11-30,71,Guanyuan
2014-12-31,50,Guanyuan
2015-01-31,62,Guanyuan
2015-02-28,68,Guanyuan
2015-03-31,82,Guanyuan
2015-04-30,73,Guanyuan
2015-05-31,64,Guanyuan
2015-06-30,52,Guanyuan
2015-07-31,49,Guanyuan
2015-08-31,45,Guanyuan
2015-09-30,43,Guanyuan
2015-10-31,56,Guanyuan
2015-11-30,76,Guanyuan
2015-12-31,100,Guanyuan
2016-01-31,50,Guanyuan
2016-02-29,36,Guanyuan
2016-03-31,86,Guanyuan
2016-04-30,77,Guanyuan
2016-05-31,59,Guanyuan
2016-06-30,53,Guanyuan
2016-07-31,55,Guanyuan
2016-08-31,40,Guanyuan
2016-09-30,46,Guanyuan
2016-10-31,66,Guanyuan
2016-11-30,88,Guanyuan
2016-12-31,98,Guanyuan
2017-01-31,85,Guanyuan
2017-02-28,56,Guanyuan
2013-03-31,78,Nongzhanguan
2013-04-30,59,Nongzhanguan
2013-05-31,77,Nongzhanguan
2013-06-30,70,Nongzhanguan
2013-07-31,51,Nongzhanguan
2013-08-31,49,Nongzhanguan
2013-09-30,60,Nongzhanguan
2013-10-31,66,Nongzhanguan
2013-11-30,64,Nongzhanguan
2013-12-31,68,Nongzhanguan
2014-01-31,81,Nongzhanguan
2014-02-28,102,Nongzhanguan
2014-03-31,84,Nongzhanguan
2014-04-30,85,Nongzhanguan
2014-05-31,78,Nongzhanguan
2014-06-30,54,Nongzhanguan
2014-07-31,67,Nongzhanguan
2014-08-31,53,Nongzhanguan
2014-09-30,57,Nongzhanguan
2014-10-31,100,Nongzhanguan
2014-11-30,86,Nongzhanguan
2014-12-31,68,Nongzhanguan
2015-01-31,78,Nongzhanguan
2015-02-28,75,Nongzhanguan
2015-03-31,83,Nongzhanguan
2015-04-30,70,Nongzhanguan
2015-05-31,59,Nongzhanguan
2015-06-30,53,Nongzhanguan
2015-07-31,48,Nongzhanguan
2015-08-31,44,Nongzhanguan
2015-09-30,41,Nongzhanguan
2015-10-31,57,Nongzhanguan
2015-11-30,77,Nongzhanguan
2015-12-31,99,Nongzhanguan
2016-01-31,48,Nongzhanguan
2016-02-29,35,Nongzhanguan
2016-03-31,79,Nongzhanguan
2016-04-30,65,Nongzhanguan
2016-05-31,51,Nongzhanguan
2016-06-30,48,Nongzhanguan
2016-07-31,48,Nongzhanguan
2016-08-31,39,Nongzhanguan
2016-09-30,44,Nongzhanguan
2016-10-31,64,Nongzhanguan
2016-11-30,87,Nongzhanguan
2016-12-31,99,Nongzhanguan
2017-01-31,85,Nongzhanguan
2017-02-28,57,Nongzhanguan
2013-03-31,73,Huairou
2013-04-30,60,Huairou
2013-05-31,95,Huairou
2013-06-30,68,Huairou
2013-07-31,52,Huairou
2013-08-31,46,Huairou
2013-09-30,53,Huairou
2013-10-31,58,Huairou
2013-11-30,46,Huairou
2013-12-31,43,Huairou
2014-01-31,62,Huairou
2014-02-28,97,Huairou
2014-03-31,72,Huairou
2014-04-30,77,Huairou
2014-05-31,54,Huairou
2014-06-30,47,Huairou
2014-07-31,70,Huairou
2014-08-31,49,Huairou
2014-09-30,46,Huairou
2014-10-31,70,Huairou
2014-11-30,57,Huairou
2014-12-31,42,Huairou
2015-01-31,56,Huairou
2015-02-28,64,Huairou
2015-03-31,80,Huairou
2015-04-30,62,Huairou
2015-05-31,52,Huairou
2015-06-30,46,Huairou
2015-07-31,42,Huairou
2015-08-31,38,Huairou
2015-09-30,33,Huairou
2015-10-31,47,Huairou
2015-11-30,59,Huairou
2015-12-31,80,Huairou
2016-01-31,40,Huairou
2016-02-29,32,Huairou
2016-03-31,70,Huairou
