datetime,ispu,station
2013-03-31,78,Guanyuan
2013-06-30,72,Guanyuan
2013-09-30,53,Guanyuan
2013-12-31,66,Guanyuan
2014-03-31,85,Guanyuan
2014-06-30,68,Guanyuan
2014-09-30,57,Guanyuan
2014-12-31,70,Guanyuan
2015-03-31,71,Guanyuan
2015-06-30,63,Guanyuan
2015-09-30,45,Guanyuan
2015-12-31,77,Guanyuan
2016-03-31,58,Guanyuan
2016-06-30,63,Guanyuan
2016-09-30,47,Guanyuan
2016-12-31,84,Guanyuan
2017-03-31,71,Guanyuan
2013-03-31,78,Nongzhanguan
2013-06-30,69,Nongzhanguan
2013-09-30,53,Nongzhanguan
2013-12-31,66,Nongzhanguan
2014-03-31,88,Nongzhanguan
2014-06-30,72,Nongzhanguan
2014-09-30,59,Nongzhanguan
2014-12-31,85,Nongzhanguan
2015-03-31,79,Nongzhanguan
2015-06-30,61,Nongzhanguan
2015-09-30,45,Nongzhanguan
2015-12-31,78,Nongzhanguan
2016-03-31,55,Nongzhanguan
2016-06-30,55,Nongzhanguan
2016-09-30,44,Nongzhanguan
2016-12-31,83,Nongzhanguan
2017-03-31,72,Nongzhanguan
2013-03-31,73,Huairou
2013-06-30,74,Huairou
2013-09-30,50,Huairou
2013-12-31,49,Huairou
2014-03-31,77,Huairou
2014-06-30,59,Huairou
2014-09-30,55,Huairou
2014-12-31,56,Huairou
2015-03-31,67,Huairou
2015-06-30,53,Huairou
2015-09-30,38,Huairou
2015-12-31,62,Huairou
2016-03-31,47,Huairou
2016-06-30,53,Huairou
2016-09-30,36,Huairou
2016-12-31,64,Huairou
2017-03-31,58,Huairou
2013-03-31,79,Dongsi
2013-06-30,71,Dongsi
2013-09-30,58,Dongsi
2013-12-31,62,Dongsi
2014-03-31,82,Dongsi
2014-06-30,70,Dongsi
2014-09-30,57,Dongsi
2014-12-31,78,Dongsi
2015-03-31,82,Dongsi
2015-06-30,60,Dongsi
2015-09-30,46,Dongsi
2015-12-31,82,Dongsi
2016-03-31,60,Dongsi
2016-06-30,57,Dongsi
2016-09-30,44,Dongsi
2016-12-31,89,Dongsi
2017-03-31,79,Dongsi
2013-03-31,79,Wanshouxigong
2013-06-30,69,Wanshouxigong
2013-09-30,59,Wanshouxigong
2013-12-31,73,Wanshouxigong
2014-03-31,97,Wanshouxigong
2014-06-30,68,Wanshouxigong
2014-09-30,60,Wanshouxigong
2014-12-31,79,Wanshouxigong
2015-03-31,83,Wanshouxigong
2015-06-30,60,Wanshouxigong
2015-09-30,45,Wanshouxigong
2015-12-31,82,Wanshouxigong
2016-03-31,57,Wanshouxigong
2016-06-30,59,Wanshouxigong
2016-09-30,44,Wanshouxigong
2016-12-31,79,Wanshouxigong
2017-03-31,73,Wanshouxigong
2013-03-31,75,Tiantan
2013-06-30,73,Tiantan
2013-09-30,56,Tiantan
2013-12-31,64,Tiantan
2014-03-31,81,Tiantan
2014-06-30,65,Tiantan
2014-09-30,57,Tiantan
2014-12-31,73,Tiantan
2015-03-31,74,Tiantan
2015-06-30,59,Tiantan
2015-09-30,42,Tiantan
2015-12-31,75,Tiantan
2016-03-31,56,Tiantan
2016-06-30,56,Tiantan
2016-09-30,41,Tiantan
2016-12-31,80,Tiantan
2017-03-31,75,Tiantan
2013-03-31,71,Dingling
2013-06-30,59,Dingling
2013-09-30,42,Dingling
2013-12-31,45,Dingling
2014-03-31,74,Dingling
2014-06-30,54,Dingling
2014-09-30,52,Dingling
2014-12-31,57,Dingling
2015-03-31,66,Dingling
2015-06-30,53,Dingling
2015-09-30,41,Dingling
2015-12-31,58,Dingling
2016-03-31,55,Dingling
2016-06-30,57,Dingling
2016-09-30,40,Dingling
2016-12-31,60,Dingling
2017-03-31,51,Dingling
2013-03-31,87,Wanliu
2013-06-30,73,Wanliu
2013-09-30,56,Wanliu
2013-12-31,72,Wanliu
2014-03-31,92,Wanliu
2014-06-30,75,Wanliu
2014-09-30,64,Wanliu
2014-12-31,82,Wanliu
2015-03-31,81,Wanliu
2015-06-30,61,Wanliu
2015-09-30,44,Wanliu
2015-12-31,72,Wanliu
2016-03-31,57,Wanliu
2016-06-30,51,Wanliu
2016-09-30,41,Wanliu
2016-12-31,76,Wanliu
2017-03-31,67,Wanliu
2013-03-31,87,Gucheng
2013-06-30,79,Gucheng
2013-09-30,55,Gucheng
2013-12-31,63,Gucheng
2014-03-31,88,Gucheng
2014-06-30,84,Gucheng
2014-09-30,71,Gucheng
2014-12-31,80,Gucheng
2015-03-31,79,Gucheng
2015-06-30,68,Gucheng
2015-09-30,50,Gucheng
2015-12-31,85,Gucheng
2016-03-31,63,Gucheng
2016-06-30,68,Gucheng
2016-09-30,53,Gucheng
2016-12-31,83,Gucheng
2017-03-31,75,Gucheng
2013-03-31,87,Aotizhongxin
2013-06-30,75,Aotizhongxin
2013-09-30,56,Aotizhongxin
2013-12-31,66,Aotizhongxin
2014-03-31,86,Aotizhongxin
2014-06-30,73,Aotizhongxin
2014-09-30,57,Aotizhongxin
2014-12-31,75,Aotizhongxin
2015-03-31,78,Aotizhongxin
2015-06-30,67,Aotizhongxin
2015-09-30,49,Aotizhongxin
2015-12-31,79,Aotizhongxin
2016-03-31,62,Aotizhongxin
2016-06-30,55,Aotizhongxin
2016-09-30,43,Aotizhongxin
2016-12-31,74,Aotizhongxin
2017-03-31,66,Aotizhongxin
2013-03-31,75,Changping
2013-06-30,64,Changping
2013-09-30,48,Changping
2013-12-31,52,Changping
2014-03-31,77,Changping
2014-06-30,63,Changping
2014-09-30,54,Changping
2014-12-31,68,Changping
2015-03-31,75,Changping
2015-06-30,54,Changping
2015-09-30,38,Changping
2015-12-31,61,Changping
2016-03-31,54,Changping
2016-06-30,51,Changping
2016-09-30,37,Changping
2016-12-31,67,Changping
2017-03-31,56,Changping
2013-03-31,73,Shunyi
2013-06-30,66,Shunyi
2013-09-30,50,Shunyi
2013-12-31,54,Shunyi
2014-03-31,82,Shunyi
2014-06-30,66,Shunyi
2014-09-30,57,Shunyi
2014-12-31,66,Shunyi
2015-03-31,73,Shunyi
2015-06-30,55,Shunyi
2015-09-30,41,Shunyi
2015-12-31,73,Shunyi
2016-03-31,53,Shunyi
2016-06-30,52,Shunyi
2016-09-30,40,Shunyi
2016-12-31,69,Shunyi
2017-03-31,65,Shunyi
