datetime,Guanyuan,Nongzhanguan,Huairou,Dongsi,Wanshouxigong,Tiantan,Dingling,Wanliu,Gucheng,Aotizhongxin,Changping,Shunyi
2013-03-01,23,27,29,27,21,25,30,17,28,23,29,23
2013-03-02,20,22,24,24,24,22,25,24,30,25,23,22
2013-03-03,71,81,48,78,78,72,39,78,72,72,49,57
2013-03-04,25,23,27,24,23,22,28,31,30,26,24,20
2013-03-05,98,103,72,109,102,93,70,118,103,110,75,87
2013-03-06,137,128,117,139,139,123,135,166,153,159,154,111
2013-03-07,168,176,145,183,182,166,91,191,185,189,134,180
2013-03-08,149,143,139,139,154,132,130,164,160,178,143,147
2013-03-09,118,130,85,121,140,123,134,123,145,126,120,105
2013-03-10,35,35,41,39,30,39,35,42,45,41,36,42
2013-03-11,97,80,85,89,86,86,90,118,118,106,98,94
2013-03-12,70,76,63,76,74,76,82,89,83,73,86,69
2013-03-13,27,29,32,29,23,27,32,18,24,26,31,28
2013-03-14,62,57,72,63,51,59,64,72,69,64,72,60
2013-03-15,136,135,134,137,125,128,122,150,143,150,118,132
2013-03-16,137,146,141,146,141,148,142,157,146,154,144,140
2013-03-17,169,169,171,173,176,173,195,190,184,185,166,172
2013-03-18,64,51,69,60,59,58,38,64,68,70,43,56
2013-03-19,26,19,17,28,30,26,27,25,22,29,21,15
2013-03-20,31,29,21,34,33,34,23,32,38,29,21,22
2013-03-21,90,81,77,87,87,80,79,95,97,97,85,77
2013-03-22,67,70,64,74,74,65,54,74,75,86,67,67
2013-03-23,41,52,31,50,49,44,39,50,61,53,47,34
2013-03-24,22,24,26,26,21,25,29,20,28,22,23,22
2013-03-25,68,75,71,72,73,65,65,84,95,86,77,72
2013-03-26,127,121,126,100,126,115,121,143,150,150,135,128
2013-03-27,73,70,82,58,61,56,70,70,94,73,81,63
2013-03-28,31,28,29,32,26,29,32,31,32,32,24,25
2013-03-29,68,77,48,80,71,69,39,74,68,84,50,67
2013-03-30,63,59,75,63,57,53,62,68,63,66,67,59
2013-03-31,117,109,108,115,115,107,88,130,117,116,103,94
2013-04-01,69,66,83,71,61,65,89,78,74,67,74,70
2013-04-02,72,76,69,80,81,76,55,91,88,84,62,65
2013-04-03,105,109,122,116,110,93,114,135,118,122,123,100
2013-04-04,55,61,51,64,59,57,46,59,56,66,48,48
2013-04-05,36,33,26,35,36,37,32,41,32,32,36,23
2013-04-06,24,27,23,28,21,25,27,18,23,22,26,21
2013-04-07,65,62,68,69,67,60,57,81,82,76,62,61
2013-04-08,74,67,39,72,55,65,52,73,80,74,73,43
2013-04-09,31,33,38,34,29,27,36,28,35,28,34,29
2013-04-10,24,26,33,28,22,22,31,21,31,21,23,20
2013-04-11,32,23,25,23,25,31,28,34,30,38,23,20
2013-04-12,56,69,72,58,66,57,44,74,73,81,52,54
2013-04-13,77,76,52,72,73,71,37,76,78,82,51,58
2013-04-14,53,57,51,51,58,50,43,66,69,65,44,36
2013-04-15,80,87,118,83,80,76,96,94,90,109,95,75
2013-04-16,74,81,82,81,80,73,62,73,74,96,77,77
2013-04-17,39,40,53,50,38,35,43,44,50,54,46,44
2013-04-18,29,30,35,32,26,28,31,28,29,25,32,27
2013-04-19,39,42,47,50,45,37,38,49,50,52,39,38
2013-04-20,41,43,56,46,45,43,44,45,50,50,49,45
2013-04-21,78,79,94,86,79,71,66,94,108,95,79,83
2013-04-22,99,93,117,105,101,92,109,113,121,110,100,86
2013-04-23,108,109,105,117,114,111,108,122,120,115,113,106
2013-04-24,71,53,25,64,62,65,41,84,86,70,68,46
2013-04-25,29,23,33,27,19,25,29,29,30,23,27,24
2013-04-26,76,89,56,77,70,68,49,92,73,90,51,56
2013-04-27,60,81,78,74,66,63,63,62,70,77,62,68
2013-04-28,63,74,80,65,59,63,64,71,71,71,71,79
2013-04-29,52,43,40,37,44,47,37,54,56,36,33,37
2013-04-30,35,39,34,35,46,41,35,45,66,32,33,32
2013-05-01,50,58,60,54,53,46,45,58,67,54,47,48
